c,Northings,Eastings,Heights,Station Name,Station,Datum,Condition,Reviews,Y,X,Type,Source
1,9893875.45,237730.76,2610.81,Kireita Forest,SKP 209,Arc 1960 Zone 37M,Re-established,Very Good,-0.96203,36.644262,I.P.C.U. Re-est from witness marks,SoK
2,9874964.81,274378.62,1534.39,Ruiru,148 S3,Arc 1960 Zone 37M,Not updated,Bad Point,-1.133224,36.973301,I.P.C.U.          Old,SoK
3,9835375.07,234861.94,1861.74,Olepolos,148 ST5,Arc 1960 Zone 37M,Not updated,Bad Point,-1.490821,36.618033,I.P.C.U.          Old,SoK
4,9878315.02,289949.59,1500.01,Ndarugu East,149 S2,Arc 1960 Zone 37M,Good,Bad Point,-1.103026,37.113198,I.P.C.U.          Old,SoK
5,9837592.79,284419.1,1837.96,Kasanga Conservancy,149 S3,Arc 1960 Zone 37M,Not updated,Bad Point,-1.471207,37.063238,I.P.C.U.          Old,SoK
6,9860784.96,246266.34,1899.2,Uthiru,148 T1,Arc 1960 Zone 37M,Not updated,Bad Point,-1.261223,36.720688,Pipe in conerete old,SoK
7,9856148.77,261106.88,1677.59,Printpark,148 T3,Arc 1960 Zone 37M,Not updated,Bad Point,-1.303252,36.853953,Brass Plug in concrete   old,SoK
8,9846384.24,252151.51,1716.2,Masai Lodge,148 T19,Arc 1960 Zone 37M,Not updated,Bad Point,-1.391457,36.773432,I.P.C.U.      Re -est under steel,SoK
9,9871405.22,286783.81,1481.57,Juja Farm,149 T4,Arc 1960 Zone 37M,Not updated,Bad Point,-1.165487,37.084717,Brass Plug in concrete   old,SoK
10,9884275.33,287704.45,1491.17,Thika,XL2A,Arc 1960 Zone 37M,Good,Bad Point,-1.049118,37.093062,S.K Bench Mark (Brass plug in  conc. ,SoK
11,9862694.82,262618.02,1620.72,Ruaraka,37,Arc 1960 Zone 37M,Not updated,Bad Point,-1.244081,36.867576,S.K Bench Mark (Brass plug in  conc. ,SoK
12,9856636.02,250707.82,1794.63,Kilimani,IN37,Arc 1960 Zone 37M,Not updated,Very Good,-1.298765,36.760548,S.K Bench Mark (Brass plug in  conc. ,SoK
13,9850938.61,265539.13,1636.67,Embakasi,IV110,Arc 1960 Zone 37M,Not updated,Bad Point,-1.350391,36.893728,S.K Bench Mark (Brass plug in  conc. ,SoK
14,9843068.2,271538.85,1549.54,Nairobi National Park,IV113,Arc 1960 Zone 37M,Not updated,Bad Point,-1.421597,36.947564,S.K Bench Mark (Brass plug in  conc. ,SoK
15,9861150.89,266325.55,1596.98,Koma Rock,LX14,Arc 1960 Zone 37M,Not updated,Bad Point,-1.258067,36.900869,S.K Bench Mark (Brass plug in  conc. ,SoK
16,9865099.09,269942.66,1533.42,Kasarani,LXI7,Arc 1960 Zone 37M,Good,Bad Point,-1.222396,36.933388,S.K Bench Mark (Brass plug in  conc. ,SoK
17,9864652.85,264378.03,1611.34,Kobe,MT3,Arc 1960 Zone 37M,Not updated,Bad Point,-1.226391,36.8834,S.K Bench Mark (Brass plug in  conc. ,SoK
18,9857698.23,242364.71,1894.69,Southern Bypass,V20,Arc 1960 Zone 37M,Not updated,Bad Point,-1.289095,36.68562,S.K Bench Mark (Brass plug in  conc. ,SoK
19,9867129.06,238204.81,2105.1,Kiambaa,V/32,Arc 1960 Zone 37M,Not updated,Bad Point,-1.20381,36.648333,S.K Bench Mark (Brass plug in  conc. ,SoK
20,9869895.69,238231.76,2144.19,Muguga,V/33,Arc 1960 Zone 37M,Not updated,Bad Point,-1.178801,36.648596,S.K Bench Mark (Brass plug in  conc.,SoK
21,9892488.05,235050.14,2286.31,Matathia,V/52,Arc 1960 Zone 37M,Not updated,Bad Point,-0.974554,36.620181,S.K Bench Mark (Brass plug in  conc. ,SoK
22,9856148.25,257722.89,1661.84,Nyayo Stadium,V/6,Arc 1960 Zone 37M,Good,Bad Point,-1.30323,36.823556,S.K Bench Mark (Brass plug in  conc. ,SoK
